                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6393,                 16.975,                 2.1542,                0.22741,                0.66802,                0.35583,                 0.2595,                 1.0451,                  7.375,                  1.417,             0.00034441,             0.00034441,             0.00034441
                      2,                 1.0193,                 3.5427,                 1.2879,                0.39406,                0.86889,                0.58754,                0.41027,                 1.1157,                 2.0547,                 1.4953,             0.00069924,             0.00069924,             0.00069924
                      3,                 1.0307,                 2.1355,                 1.2969,                0.68226,                0.49082,                0.45197,                0.30258,                 1.2947,                 4.0316,                 1.8733,              0.0010534,              0.0010534,              0.0010534
                      4,                 1.1398,                 1.9376,                 1.3527,                0.49804,                0.67251,                0.58083,                0.41041,                 1.0142,                 2.9646,                 1.5016,              0.0011077,              0.0011077,              0.0011077
                      5,                 1.0271,                 1.5758,                 1.2423,                0.34626,                0.54478,                0.51689,                0.34652,                 1.1496,                 2.7435,                 1.5876,              0.0011077,              0.0011077,              0.0011077
                      6,                 1.0276,                 1.3167,                  1.255,                 0.4644,                0.77174,                0.65146,                0.48793,                0.94377,                  1.384,                 1.3216,              0.0011066,              0.0011066,              0.0011066
                      7,                 1.0306,                 1.2481,                 1.2381,                0.37422,                0.82187,                0.58077,                0.42787,                0.97554,                  2.178,                 1.3335,              0.0011055,              0.0011055,              0.0011055
                      8,                0.97952,                 1.2087,                 1.2209,                0.53613,                  0.853,                0.71981,                0.53425,                0.93791,                 1.0933,                 1.2938,              0.0011044,              0.0011044,              0.0011044
                      9,                 1.0117,                 1.0722,                 1.2082,                0.62867,                0.85946,                0.72696,                0.52988,                 1.0116,                  1.075,                 1.3483,              0.0011033,              0.0011033,              0.0011033
                     10,                 0.9426,                0.97661,                 1.1879,                0.49805,                0.71768,                0.63563,                0.45642,                 1.0043,                 1.1811,                 1.3342,              0.0011022,              0.0011022,              0.0011022
                     11,                0.95599,                 1.0846,                 1.2174,                0.49631,                0.95274,                0.66326,                  0.454,                 1.0646,                 1.1274,                 1.3956,              0.0011011,              0.0011011,              0.0011011
                     12,                 0.9653,                 1.0399,                 1.2212,                 0.7285,                0.80058,                0.77198,                0.58274,                0.89705,                0.93823,                 1.2494,                 0.0011,                 0.0011,                 0.0011
                     13,                0.99026,                0.98931,                 1.2496,                0.57423,                0.87307,                0.76144,                  0.557,                 0.9885,                 1.0206,                 1.3417,              0.0010989,              0.0010989,              0.0010989
                     14,                0.95853,                0.87404,                 1.1741,                0.78064,                0.84887,                0.80511,                0.59494,                0.93144,                0.76466,                 1.2689,              0.0010978,              0.0010978,              0.0010978
                     15,                0.93508,                0.86885,                 1.1779,                0.71329,                0.85081,                0.89541,                0.65865,                0.98753,                0.95424,                 1.3109,              0.0010967,              0.0010967,              0.0010967
                     16,                 1.0023,                0.92359,                 1.1963,                 0.7978,                0.86071,                0.87333,                 0.6573,                0.92964,                0.73883,                 1.3096,              0.0010956,              0.0010956,              0.0010956
                     17,                0.95183,                0.85883,                 1.1885,                0.59627,                0.81728,                0.71091,                  0.525,                0.93544,                  1.292,                 1.2972,              0.0010945,              0.0010945,              0.0010945
                     18,                0.91673,                0.81515,                 1.1491,                0.76374,                0.79622,                0.78481,                 0.5917,                0.91046,                0.62909,                 1.2566,              0.0010934,              0.0010934,              0.0010934
                     19,                0.89992,                0.76399,                 1.1493,                0.94061,                0.96828,                0.98382,                0.75713,                 0.8702,                0.56575,                 1.2327,              0.0010923,              0.0010923,              0.0010923
                     20,                0.89291,                 0.7093,                 1.1369,                0.67769,                0.94906,                0.84065,                0.65573,                0.92053,                0.73894,                 1.2763,              0.0010912,              0.0010912,              0.0010912
                     21,                0.92552,                0.75705,                 1.1651,                0.70604,                0.87833,                0.84267,                0.65387,                0.85509,                0.95709,                 1.2107,              0.0010901,              0.0010901,              0.0010901
                     22,                0.89765,                0.77148,                 1.1503,                0.89024,                0.99142,                0.98195,                0.75625,                0.89537,                0.49612,                 1.2662,               0.001089,               0.001089,               0.001089
                     23,                0.92633,                0.69902,                 1.1654,                0.79192,                0.84287,                0.91384,                0.67895,                0.93926,                0.57635,                   1.28,              0.0010879,              0.0010879,              0.0010879
                     24,                0.89957,                0.69944,                  1.152,                0.81416,                0.90909,                0.93807,                  0.722,                0.93359,                0.63991,                 1.2898,              0.0010868,              0.0010868,              0.0010868
                     25,                0.88869,                0.63686,                 1.1395,                0.83618,                0.96049,                  0.927,                0.70933,                0.90594,                0.58512,                 1.2514,              0.0010857,              0.0010857,              0.0010857
                     26,                0.90585,                0.68657,                  1.142,                0.79452,                0.89442,                0.86804,                0.67541,                0.86079,                0.70858,                  1.218,              0.0010846,              0.0010846,              0.0010846
                     27,                 0.9053,                0.62924,                 1.1487,                0.86634,                 0.9413,                0.94751,                0.74001,                 0.8828,                 0.5379,                 1.2304,              0.0010835,              0.0010835,              0.0010835
                     28,                0.88483,                0.61057,                 1.1078,                0.85059,                0.96242,                0.93464,                0.73216,                0.83168,                0.45961,                 1.2013,              0.0010824,              0.0010824,              0.0010824
                     29,                0.87679,                0.61716,                 1.1274,                0.85554,                0.87738,                0.87188,                0.66507,                0.90059,                0.50616,                 1.2495,              0.0010813,              0.0010813,              0.0010813
                     30,                 0.9293,                0.68704,                 1.1747,                0.83915,                0.93309,                0.90113,                0.68988,                0.87715,                0.55214,                 1.2188,              0.0010802,              0.0010802,              0.0010802
                     31,                0.87929,                0.66475,                 1.1296,                 0.7421,                 0.9661,                0.88423,                0.68474,                0.88762,                 0.5445,                 1.2315,              0.0010791,              0.0010791,              0.0010791
                     32,                0.87435,                0.68108,                    1.1,                0.76211,                 0.9017,                0.89759,                0.70253,                0.89337,                0.64142,                 1.2507,               0.001078,               0.001078,               0.001078
                     33,                0.88911,                0.65951,                 1.1587,                0.81341,                0.88231,                0.86983,                0.68157,                0.86582,                0.72296,                 1.2222,              0.0010769,              0.0010769,              0.0010769
                     34,                0.80822,                0.61657,                  1.072,                0.74533,                0.85451,                0.78715,                0.56634,                0.99252,                0.77979,                 1.3348,              0.0010758,              0.0010758,              0.0010758
                     35,                0.85795,                0.59577,                 1.1425,                0.96341,                0.97721,                0.98275,                0.78884,                0.85158,                0.44177,                 1.2115,              0.0010747,              0.0010747,              0.0010747
                     36,                0.84242,                0.55125,                    1.1,                0.86846,                0.89711,                0.88512,                0.65465,                 0.9617,                0.54289,                 1.2943,              0.0010736,              0.0010736,              0.0010736
                     37,                0.89405,                0.70028,                  1.153,                0.82718,                0.83857,                0.85057,                0.63129,                0.97999,                0.55813,                 1.3039,              0.0010725,              0.0010725,              0.0010725
                     38,                0.89874,                 0.6227,                 1.1481,                0.90592,                 0.9183,                0.94918,                 0.6619,                 1.0641,                0.56681,                 1.3754,              0.0010714,              0.0010714,              0.0010714
                     39,                0.93253,                0.62499,                 1.1615,                0.90799,                0.99053,                0.97833,                  0.737,                0.91415,                0.40449,                 1.2541,              0.0010703,              0.0010703,              0.0010703
                     40,                0.84957,                0.65879,                 1.1119,                0.83749,                0.94917,                0.91025,                0.68913,                0.97636,                0.46682,                 1.3111,              0.0010692,              0.0010692,              0.0010692
                     41,                0.91437,                 0.5759,                 1.1389,                0.85911,                 0.8647,                0.93658,                0.72605,                0.92214,                0.62827,                 1.2756,              0.0010681,              0.0010681,              0.0010681
                     42,                0.85697,                0.51355,                 1.1064,                0.96723,                0.93051,                  0.995,                0.77863,                0.86908,                0.49399,                 1.2155,               0.001067,               0.001067,               0.001067
                     43,                0.91561,                 0.7459,                  1.146,                0.88582,                0.90318,                0.94725,                0.72524,                0.90304,                0.49219,                 1.2792,              0.0010659,              0.0010659,              0.0010659
                     44,                0.89946,                0.75217,                 1.1562,                0.98963,                0.97784,                  0.995,                0.76125,                0.90764,                0.40607,                 1.2441,              0.0010648,              0.0010648,              0.0010648
                     45,                0.84585,                 0.5893,                 1.1043,                0.90859,                 0.8261,                0.96459,                0.74482,                0.86213,                0.55549,                 1.2319,              0.0010637,              0.0010637,              0.0010637
                     46,                0.84903,                0.55941,                 1.1277,                0.81729,                0.91443,                0.89677,                0.71791,                0.82082,                0.72049,                 1.1923,              0.0010626,              0.0010626,              0.0010626
                     47,                0.81244,                0.57018,                  1.093,                0.92885,                0.97205,                 0.9825,                0.75931,                0.88305,                0.41728,                 1.2306,              0.0010615,              0.0010615,              0.0010615
                     48,                0.82333,                0.58231,                 1.0996,                  0.814,                0.90954,                0.85634,                0.64177,                0.92771,                0.52565,                 1.2767,              0.0010604,              0.0010604,              0.0010604
                     49,                0.84457,                0.55505,                 1.1264,                0.78696,                0.83572,                0.88102,                0.68451,                0.87594,                0.68573,                 1.2297,              0.0010593,              0.0010593,              0.0010593
                     50,                0.83052,                0.53073,                 1.1081,                0.97322,                0.95584,                  0.995,                0.77993,                0.86405,                0.42315,                 1.2029,              0.0010582,              0.0010582,              0.0010582
                     51,                0.84796,                0.57176,                  1.097,                0.98929,                0.94945,                  0.985,                0.76959,                0.87515,                0.40414,                 1.2264,              0.0010571,              0.0010571,              0.0010571
                     52,                0.82625,                0.60607,                 1.1195,                0.74193,                0.84484,                0.80532,                0.61707,                0.88597,                0.94981,                 1.2363,               0.001056,               0.001056,               0.001056
                     53,                0.84809,                0.55482,                 1.1037,                0.78082,                0.88824,                0.91066,                0.70942,                0.84428,                0.58755,                 1.2145,              0.0010549,              0.0010549,              0.0010549
                     54,                0.82995,                0.56982,                 1.0973,                0.94088,                0.92505,                0.97635,                0.77132,                0.85691,                0.51342,                  1.205,              0.0010538,              0.0010538,              0.0010538
                     55,                0.80047,                0.51726,                 1.0873,                0.92067,                0.95946,                0.96797,                0.75647,                 0.8436,                0.44658,                 1.2048,              0.0010527,              0.0010527,              0.0010527
                     56,                0.84792,                0.52168,                 1.0999,                0.94059,                 0.9851,                0.99436,                0.76997,                0.85637,                0.38723,                 1.1996,              0.0010516,              0.0010516,              0.0010516
                     57,                 0.8248,                 0.4729,                 1.0782,                0.98858,                0.98038,                  0.995,                0.73866,                0.98804,                0.39435,                 1.3099,              0.0010505,              0.0010505,              0.0010505
                     58,                0.85309,                0.50827,                 1.1163,                 0.9105,                0.91876,                0.99172,                0.78484,                0.86049,                0.44206,                 1.2123,              0.0010494,              0.0010494,              0.0010494
                     59,                0.82824,                0.51835,                 1.1085,                0.88901,                0.94162,                0.94425,                0.73599,                0.87051,                0.47895,                 1.2203,              0.0010483,              0.0010483,              0.0010483
                     60,                0.83426,                0.50524,                  1.092,                0.89077,                0.93699,                0.97953,                 0.7749,                 0.8822,                0.49994,                  1.242,              0.0010472,              0.0010472,              0.0010472
